Date,Time,CO2(mmHg),CRC,
2023-08-24,15:59:33.99,1,53038,
2023-08-24,15:59:34.30,1,25523,
2023-08-24,15:59:34.46,1,9214,
2023-08-24,15:59:34.71,1,39937,
2023-08-24,15:59:34.99,1,54890,
2023-08-24,15:59:35.26,1,22042,
2023-08-24,15:59:35.50,1,5719,
2023-08-24,15:59:35.76,1,30029,
2023-08-24,15:59:36.00,1,60802,
2023-08-24,15:59:36.34,1,51617,
2023-08-24,15:59:36.46,1,17181,
2023-08-24,15:59:36.71,1,64738,
2023-08-24,15:59:36.95,1,63931,
2023-08-24,15:59:37.26,1,14073,
2023-08-24,15:59:37.51,1,0,
2023-08-24,15:59:37.75,1,36466,
2023-08-24,15:59:37.99,1,3816,
2023-08-24,15:59:38.33,1,43524,
2023-08-24,15:59:38.51,1,35561,
2023-08-24,15:59:38.71,1,52842,
2023-08-24,15:59:38.97,1,9819,
2023-08-24,15:59:39.21,1,21852,
2023-08-24,15:59:39.50,1,17468,
2023-08-24,15:59:39.74,1,51790,
2023-08-24,15:59:40.01,1,64779,
2023-08-24,15:59:40.33,1,65201,
2023-08-24,15:59:40.51,1,56924,
2023-08-24,15:59:40.73,1,30647,
2023-08-24,15:59:40.97,1,29422,
2023-08-24,15:59:41.21,1,489,
2023-08-24,15:59:41.45,1,1693,
2023-08-24,15:59:41.74,1,40699,
2023-08-24,15:59:41.98,1,7777,
2023-08-24,15:59:42.34,1,53119,
2023-08-24,15:59:42.49,1,37165,
2023-08-24,15:59:42.73,1,5972,
2023-08-24,15:59:42.99,1,45143,
2023-08-24,15:59:43.21,1,24842,
2023-08-24,15:59:43.45,1,26238,
2023-08-24,15:59:43.71,1,16989,
2023-08-24,15:59:43.99,1,2102,
2023-08-24,15:59:44.32,1,18883,
2023-08-24,15:59:44.50,1,26926,
2023-08-24,15:59:44.74,1,59228,
2023-08-24,15:59:45.00,1,61976,
2023-08-24,15:59:45.24,1,31850,
2023-08-24,15:59:45.46,1,23687,
